Year,County,Ten-Year Age Groups Code,Gender,Race,Deaths,Population,Crude Rate,,,Ten-Year Age Groups Code
2014,"Alameda County, CA",1,Female,Black or African American,14,1461,Unreliable,,,1
2014,"Alameda County, CA",1,Female,White,14,5318,Unreliable,,,1
2014,"Alameda County, CA",1,Male,Black or African American,10,1521,Unreliable,,,1
2014,"Alameda County, CA",1,Male,White,21,5562,377.56203,,,1
2014,"Alameda County, CA",15-24,Female,Black or African American,14,15545,Unreliable,,,15-24
2014,"Alameda County, CA",15-24,Female,White,15,52931,Unreliable,,,15-24
2014,"Alameda County, CA",15-24,Male,Asian or Pacific Islander,11,31161,Unreliable,,,15-24
2014,"Alameda County, CA",15-24,Male,Black or African American,34,15577,218.27053,,,15-24
2014,"Alameda County, CA",15-24,Male,White,43,54265,79.24076,,,15-24
2014,"Alameda County, CA",25-34,Female,Asian or Pacific Islander,11,44482,Unreliable,,,25-34
2014,"Alameda County, CA",25-34,Female,Black or African American,12,16562,Unreliable,,,25-34
2014,"Alameda County, CA",25-34,Female,White,24,66580,36.04686,,,25-34
2014,"Alameda County, CA",25-34,Male,Asian or Pacific Islander,21,39948,52.56834,,,25-34
2014,"Alameda County, CA",25-34,Male,Black or African American,34,14708,231.16671,,,25-34
2014,"Alameda County, CA",25-34,Male,White,78,70302,110.9499,,,25-34
2014,"Alameda County, CA",35-44,Female,Asian or Pacific Islander,22,43958,50.04777,,,35-44
2014,"Alameda County, CA",35-44,Female,Black or African American,31,15240,203.41207,,,35-44
2014,"Alameda County, CA",35-44,Female,White,51,59438,85.80369,,,35-44
2014,"Alameda County, CA",35-44,Male,Asian or Pacific Islander,29,40208,72.12495,,,35-44
2014,"Alameda County, CA",35-44,Male,Black or African American,42,13019,322.60542,,,35-44
2014,"Alameda County, CA",35-44,Male,White,81,63219,128.12604,,,35-44
2014,"Alameda County, CA",45-54,Female,Asian or Pacific Islander,38,37217,102.10388,,,45-54
2014,"Alameda County, CA",45-54,Female,Black or African American,65,15464,420.33109,,,45-54
2014,"Alameda County, CA",45-54,Female,White,114,60346,188.91062,,,45-54
2014,"Alameda County, CA",45-54,Male,Asian or Pacific Islander,58,33360,173.86091,,,45-54
2014,"Alameda County, CA",45-54,Male,Black or African American,79,13622,579.94421,,,45-54
2014,"Alameda County, CA",45-54,Male,White,191,63418,301.17632,,,45-54
2014,"Alameda County, CA",55-64,Female,Asian or Pacific Islander,84,30803,272.70071,,,55-64
2014,"Alameda County, CA",55-64,Female,Black or African American,153,14478,1056.7758,,,55-64
2014,"Alameda County, CA",55-64,Female,White,268,54765,489.36364,,,55-64
2014,"Alameda County, CA",55-64,Male,Asian or Pacific Islander,125,26680,468.51574,,,55-64
2014,"Alameda County, CA",55-64,Male,Black or African American,201,12174,1651.05964,,,55-64
2014,"Alameda County, CA",55-64,Male,White,459,53680,855.06706,,,55-64
2014,"Alameda County, CA",65-74,Female,Asian or Pacific Islander,105,17668,594.29477,,,65-74
2014,"Alameda County, CA",65-74,Female,Black or African American,150,8316,1803.7518,,,65-74
2014,"Alameda County, CA",65-74,Female,White,428,35761,1196.83454,,,65-74
2014,"Alameda County, CA",65-74,Male,Asian or Pacific Islander,175,14659,1193.80585,,,65-74
2014,"Alameda County, CA",65-74,Male,Black or African American,196,6684,2932.37582,,,65-74
2014,"Alameda County, CA",65-74,Male,White,562,31894,1762.08691,,,65-74
2014,"Alameda County, CA",75-84,Female,Asian or Pacific Islander,178,10012,1777.86656,,,75-84
2014,"Alameda County, CA",75-84,Female,Black or African American,181,4065,4452.64453,,,75-84
2014,"Alameda County, CA",75-84,Female,White,631,18022,3501.27622,,,75-84
2014,"Alameda County, CA",75-84,Male,Asian or Pacific Islander,199,7463,2666.48801,,,75-84
