Names,< 6 months,6 months - 4 years,5-12 years,13-17 years,18-49 years,50-64 years,> 65 years,White,Black,Hispanic,Other Races
Alabama,48.3,68.7,64.0,48.2,30.7,51.5,71.5,50.1,43.4,64.2,36.5
Alaska,44.1,63.8,56.2,44.7,34.8,40.4,61.2,45.4,48.2,33.0,41.6
Arizona,45.6,63.3,58.6,46.8,31.6,45.5,64.4,47.1,48.6,41.9,46.3
Arkansas,48.8,69.2,64.5,57.0,34.4,47.7,62.8,49.5,46.6,50.7,36.1
California,47.4,77.1,66.6,49.9,33.7,43.8,69.0,52.3,40.8,44.6,45.0
Colorado,51.6,69.4,67.3,56.2,38.1,52.6,70.4,51.6,60.3,49.5,51.7
Connecticut,56.8,87.6,74.5,64.4,40.5,53.8,75.4,60.5,53.4,46.5,53.6
Delaware,50.7,70.8,69.1,57.5,32.7,52.6,70.1,53.2,44.5,51.6,42.7
District of Columbia,NR,78.9,76.1,69.0,NR,NR,NR,NR,NR,NR,NR
Florida,40.9,61.8,56.1,45.1,25.3,33.9,61.1,44.8,35.1,35.8,39.2
Georgia,43.1,65.9,57.2,43.7,30.5,43.4,58.4,46.4,38.7,40.1,45.9
Hawaii,50.2,63.2,62.7,58.9,38.1,47.8,66.8,49.8,65.0,49.2,50.3
Idaho,43.6,69.9,50.5,36.2,30.6,42.1,66.4,43.1,24.7,44.1,51.3
Illinois,45.4,73.1,60.8,48.4,31.5,41.3,67.4,48.3,39.7,42.4,44.3
Indiana,47.9,64.4,57.1,50.2,33.0,50.9,67.6,48.3,44.9,50.4,41.0
Iowa,54.8,77.2,67.7,53.4,41.0,54.5,72.4,55.4,51.9,49.4,55.7
Kansas,50.7,74.5,64.1,51.4,37.5,48.4,68.0,51.9,44.3,47.9,48.6
Kentucky,49.6,71.4,65.3,58.5,36.5,46.1,66.0,49.2,50.1,57.8,50.6
Louisiana,41.6,68.0,54.4,49.6,24.1,43.5,64.3,41.9,42.6,49.1,30.1
Maine,48.8,71.5,63.3,55.4,31.4,48.6,67.5,48.8,53.4,46.1,47.5
Maryland,57.1,82.0,74.9,63.4,43.6,53.1,72.7,60.5,51.6,50.7,61.9
Massachusetts,58.9,87.7,81.5,75.6,45.0,54.3,72.1,58.8,57.7,61.6,58.0
Michigan,46.1,71.9,56.5,44.5,31.0,48.4,65.6,47.5,39.8,49.9,42.1
Minnesota,52.7,75.1,65.1,55.9,42.3,49.0,68.0,53.1,51.2,60.5,50.1
Mississippi,42.0,62.2,50.2,34.1,26.1,45.0,68.3,45.9,35.8,49.4,35.9
Missouri,50.0,66.6,56.9,48.3,37.6,48.0,72.9,50.7,43.2,53.3,48.7
Montana,48.7,69.0,59.4,36.6,36.5,47.6,67.8,48.8,57.3,41.9,48.4
Nebraska,54.2,81.7,72.1,54.6,40.4,51.7,70.5,54.4,49.4,56.0,52.7
Nevada,37.8,64.6,51.9,38.4,20.3,34.8,65.3,42.1,22.2,36.2,39.7
New Hampshire,52.0,72.7,67.7,62.0,38.1,47.0,71.5,52.1,38.5,64.9,48.7
New Jersey,NR,84.3,75.4,58.6,NR,NR,NR,NR,NR,NR,NR
New Mexico,49.9,73.2,69.8,58.1,33.6,45.9,68.7,49.2,42.0,51.8,45.6
New York,51.9,77.3,68.2,65.5,38.6,49.3,66.3,53.3,46.9,52.8,49.0
North Carolina,54.9,75.7,63.9,56.9,43.5,51.7,72.9,58.7,49.3,51.5,50.8
North Dakota,51.1,66.9,66.8,58.9,40.3,45.8,68.6,51.7,59.3,41.0,48.3
Ohio,50.4,67.3,63.3,49.5,36.1,49.1,70.0,50.7,48.8,56.7,47.6
Oklahoma,51.3,67.1,57.4,44.6,39.9,49.7,75.5,51.9,49.8,48.6,52.0
Oregon,48.3,75.6,62.1,48.8,33.9,47.2,68.1,48.5,45.0,52.7,42.3
Pennsylvania,54.2,81.8,68.8,61.3,36.9,54.8,73.8,54.4,51.6,52.1,56.4
Rhode Island,60.4,85.2,78.5,72.3,48.7,56.2,74.1,61.9,53.0,61.3,50.2
South Carolina,46.8,69.4,61.1,48.8,29.5,47.7,68.9,48.1,44.4,47.7,39.7
South Dakota,54.4,81.8,67.4,53.0,41.1,55.5,67.1,54.1,59.1,65.8,52.5
Tennessee,48.2,71.3,64.7,51.5,33.3,46.1,66.9,49.3,40.5,56.8,45.2
Texas,47.9,72.6,63.9,51.9,33.5,47.3,67.5,49.5,47.9,46.9,45.5
Utah,45.9,72.6,54.9,44.7,34.7,46.1,64.2,47.0,59.5,37.3,50.0
Vermont,51.9,72.4,64.6,44.7,37.8,53.9,69.4,52.7,47.9,45.1,41.3
Virginia,54.7,84.6,67.3,57.1,42.6,51.8,71.4,58.5,46.0,51.9,51.5
Washington,53.8,76.1,65.1,49.3,41.3,53.9,71.7,54.3,49.8,49.8,58.4
West Virginia,48.2,69.5,54.5,45.8,32.5,50.9,69.1,48.6,45.1,39.7,48.8
Wisconsin,50.9,75.5,61.7,44.3,40.4,48.4,66.0,51.3,51.5,48.8,46.1
Wyoming,40.7,51.1,49.8,33.3,28.0,42.1,63.9,40.7,53.8,39.0,42.2
United States,49.2,73.4,63.6,52.2,34.9,47.3,68.1,51.0,44.7,46.4,47.3
Region  1,56.5,85.0,75.1,68.5,42.1,52.9,72.2,57.1,54.9,56.3,54.8
Region  2,53.8,79.5,70.6,63.5,38.6,49.3,66.3,54.5,49.6,55.8,51.6
Region  3,54.6,81.8,69.2,59.7,39.4,53.5,72.7,55.9,49.9,51.9,55.7
Region  4,45.9,67.4,59.6,48.2,31.5,43.3,65.2,49.0,41.3,41.2,42.9
Region  5,48.3,71.0,60.9,48.4,34.7,47.2,67.5,49.6,43.8,47.3,44.5
Region  6,47.7,71.5,62.5,51.7,32.9,47.2,67.6,48.7,46.7,47.3,44.7
Region  7,51.7,72.6,62.7,51.5,38.6,49.9,71.5,52.5,44.8,51.5,50.3
Region  8,49.5,70.3,62.0,50.1,36.9,49.8,68.0,49.6,58.9,46.2,50.2
Region  9,46.7,74.4,64.4,48.9,32.7,43.6,68.0,50.5,40.0,43.9,45.7
Region 10,50.2,74.3,61.7,48.0,37.1,49.5,69.4,50.3,47.1,49.6,52.6
HP 2020 Target,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
